model_id,display_name,provider,curve_profile,difficulty_score,p_low,p_mid,p_mid_high,p_high,estimated_score,score_lower,score_upper
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,90,0.00040448149784211296,0.008721155891338483,0.14697926005627682,0.8438951025545426,27.27931345768429,13.279313457684289,41.27931345768429
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,91,0.0003569706350377011,0.007705020893233883,0.13227425796181147,0.859663750509917,26.692887219064048,12.692887219064048,40.69288721906405
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,92,0.00031503869408122664,0.006806390051653843,0.11880133608939725,0.8740772351648677,26.157876497297522,12.15787649729752,40.15787649729752
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,93,0.00027803096387757353,0.006011871173014938,0.10650550414600068,0.8872045937171068,25.671412054877273,11.671412054877273,39.67141205487727
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,94,0.0002453694805427675,0.0053095552231482435,0.09532369802636564,0.8991213772699433,25.230446671999573,11.230446671999573,39.23044667199957
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,95,0.00021654404989512877,0.004688861655826937,0.08518758825622974,0.9099070060380482,24.83184250587507,10.83184250587507,38.831842505875066
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,96,0.00019110431587765486,0.004140397704686216,0.0760259668016432,0.9196425311777929,24.472444694025825,10.472444694025823,38.472444694025825
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,97,0.00016865275398914026,0.0036558308906481374,0.06776671579991511,0.9284088005554476,24.14914126704488,10.149141267044879,38.14914126704488
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,98,0.00014883848257296606,0.0032277738991663973,0.060338381870226,0.9362850057480346,23.858910134862267,9.858910134862263,37.85891013486227
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,99,0.0001313517970652489,0.002849680932789589,0.05367139257811904,0.9433475746920261,23.59885436059476,9.59885436059476,37.598854360594764
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,100,0.00011591934318644359,0.002515754631698064,0.047698958622592325,0.9496693674025232,23.3662271809917,9.366227180991698,37.3662271809917
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,0,0.9688561694652216,0.029733472038160437,0.0013400466539488735,7.031184266914956e-05,99.7016664377186,85.70166643771859,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,1,0.9648551535992067,0.033547000906775926,0.0015181724841563124,7.967300986103147e-05,99.66299518963093,85.66299518963093,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,2,0.96036116089903,0.03782862807476737,0.0017199306360523373,9.028039015031105e-05,99.61946188316968,85.61946188316968,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,3,0.9553191297273498,0.04263012673273281,0.0019484436851915632,0.00010229985472581486,99.57049557491258,85.57049557491258,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,4,0.9496693674025232,0.0480074700748456,0.0022072431794449517,0.00011591934318633098,99.5154688484643,85.5154688484643,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,5,0.9433475746920262,0.054020751333089236,0.002500322177819312,0.00013135179706526775,99.45369495205571,85.45369495205571,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,6,0.9362850057480347,0.060733961522110406,0.0028321942472820157,0.0001488384825728813,99.3844255226986,85.3844255226986,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,7,0.9284088005554475,0.06821458706281297,0.0032079596277503563,0.00016865275398914432,99.30684911818334,85.30684911818334,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,8,0.9196425311777929,0.07653298517756987,0.003633379328759434,0.00019110431587777673,99.2200908047316,85.2200908047316,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,9,0.9099070060380482,0.08576149194138781,0.004114957970668882,0.00021654404989510326,99.12321306579169,85.12321306579169,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,10,0.8991213772699435,0.09597321702433448,0.004660036225179408,0.00024536948054262246,99.0152183001447,85.0152183001447,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,11,0.8872045937171068,0.10724048157920207,0.0052768937398135875,0.00027803096387751553,98.89505315756085,84.89505315756085,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,12,0.8740772351648677,0.1196328626982398,0.005974863442811143,0.0003150386940813393,98.76161490893864,84.76161490893863,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,13,0.8596637505099168,0.1332148207443481,0.006764458110697443,0.0003569706350376584,98.61375995596259,84.61375995596259,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,14,0.8438951025545426,0.14804290591718577,0.00765751003042956,0.00040448149784208087,98.45031444445857,84.45031444445857,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,15,0.8267117940706734,0.16416256854014605,0.008667324488545482,0.00045831290063503817,98.27008675018939,84.27008675018939,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,16,0.8080672135527632,0.18160463392793155,0.009808847654810264,0.0005193048644949271,98.07188135551505,84.07188135551505,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,17,0.7879311956428947,0.2003815463614109,0.011098849177137493,0.0005884088185569393,97.85451333812169,83.85451333812169,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,18,0.7662936430859598,0.22048353516173502,0.012556119443061559,0.00066670230924359,97.61682236810313,83.61682236810313,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,19,0.7431680086124812,0.2418749047943688,0.014201680960420463,0.0007554056327295283,97.35768478958136,83.35768478958136,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,20,0.7185943925708562,0.26449069416241733,0.01605901262998128,0.0008559006367452277,97.07602209385662,83.07602209385662,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,21,0.6926419831347362,0.28823398011437484,0.018154284783106312,0.0009697519677825852,96.77080392967447,82.77080392967447,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,22,0.6654105587468141,0.31297410849053825,0.020516601689723,0.001098731072924643,96.44104380375708,82.44104380375707,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,23,0.6370307944803832,0.33854611546550956,0.023178246752018822,0.0012448433020883745,96.08578585633197,82.08578585633197,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,24,0.6076631698328918,0.3647515479403183,0.026174923730171957,0.001410358496618023,95.70408158789007,81.70408158789006,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,25,0.5774953651858119,0.39136080427940967,0.029545985040761114,0.0015978454940173438,95.29495616835194,81.29495616835194,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,26,0.546738151984614,0.41811700161459286,0.03333463537459062,0.0018102110262026483,94.85736493980873,80.85736493980873,100.0
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,27,0.5156199157230157,0.4447412451760143,0.037588095561052644,0.002050743539917378,94.39014184653487,80.39014184653487,100.0
