model_id,difficulty_score,p_low,p_mid,p_mid_high,p_high,estimated_quality,quality_lower,quality_upper,estimate_label
gpt-5.4-mini,38,0.2120688043571053,0.6475949461528115,0.13227425796181155,0.008061991528271641,0.4975410534976252,0.35754105349762516,0.6375410534976251,public-benchmark constrained estimate
gpt-5.4-mini,39,0.19193278644723677,0.6519623161073058,0.1469792600562769,0.00912563738918052,0.48397062875122193,0.3439706287512219,0.6239706287512219,public-benchmark constrained estimate
gpt-5.4-mini,40,0.1732882059293266,0.6534235881413468,0.16296005341002137,0.010328152519305191,0.4705043678276394,0.33050436782763937,0.6105043678276394,public-benchmark constrained estimate
gpt-5.4-mini,41,0.15610489744545752,0.6519623161073058,0.1802455284515423,0.011687257995694434,0.4571128667549282,0.31711286675492817,0.5971128667549281,public-benchmark constrained estimate
gpt-5.4-mini,42,0.14033624949008328,0.6475949461528114,0.19884598260480008,0.013222821752305148,0.44376558966026775,0.30376558966026773,0.5837655896602678,public-benchmark constrained estimate
gpt-5.4-mini,43,0.12592276483513243,0.6403708782508274,0.21874927032089023,0.01495708659314999,0.43043352300039633,0.2904335230003963,0.5704335230003963,public-benchmark constrained estimate
gpt-5.4-mini,44,0.1127954062828933,0.6303726023295879,0.23991707812079227,0.01691491326672651,0.4170916944457956,0.27709169444579557,0.5570916944457955,public-benchmark constrained estimate
gpt-5.4-mini,45,0.10087862273005643,0.6177157698407998,0.2622815706782549,0.019124036750888904,0.40372143071377675,0.26372143071377674,0.5437214307137768,public-benchmark constrained estimate
gpt-5.4-mini,46,0.0900929939619518,0.6025489891727843,0.2857426841026162,0.021615332762647654,0.3903122362450001,0.2503122362450001,0.5303122362450001,public-benchmark constrained estimate
gpt-5.4-mini,47,0.08035746882220707,0.585053089924607,0.3101663511990787,0.0244230900541072,0.37686318682428593,0.23686318682428592,0.5168631868242859,public-benchmark constrained estimate
gpt-5.4-mini,48,0.07159119944455239,0.5654395950358309,0.3353839232928268,0.027585282226789982,0.3633837511914085,0.22338375119140846,0.5033837511914085,public-benchmark constrained estimate
gpt-5.4-mini,49,0.06371499425196536,0.5439481755809263,0.3611929996323298,0.031143830534778462,0.3498939810257173,0.20989398102571727,0.4898939810257173,public-benchmark constrained estimate
gpt-5.4-mini,50,0.056652425307973875,0.520842939877838,0.3873597884133949,0.03514484640079327,0.33642404580444435,0.19642404580444434,0.47642404580444436,public-benchmark constrained estimate
gpt-5.4-mini,51,0.05033063259747683,0.49640751938713706,0.41362300891441606,0.039638839100970026,0.3230131324511846,0.1830131324511846,0.46301313245118464,public-benchmark constrained estimate
gpt-5.4-mini,52,0.04468087027265022,0.47093904545036547,0.4396992140043341,0.0446808702726502,0.3097077768795568,0.1697077768795568,0.4497077768795568,public-benchmark constrained estimate
gpt-5.4-mini,53,0.03963883910096999,0.44474124517601443,0.4652892831255387,0.0503306325974769,0.2965597402595021,0.1565597402595021,0.4365597402595021,public-benchmark constrained estimate
gpt-5.4-mini,54,0.035144846400793295,0.41811700161459286,0.49008572667663997,0.05665242530797386,0.28362358101305657,0.14362358101305656,0.4236235810130566,public-benchmark constrained estimate
gpt-5.4-mini,55,0.031143830534778427,0.3913608042794098,0.5137803709338464,0.06371499425196536,0.27095409849551777,0.13095409849551776,0.4109540984955178,public-benchmark constrained estimate
gpt-5.4-mini,56,0.02758528222678991,0.3647515479403184,0.5360719703883392,0.0715911994445525,0.2586038320175924,0.11860383201759239,0.3986038320175924,public-benchmark constrained estimate
